Date,IBM,T,NKE,AAPL
20160930,158.850006,40.610001,52.650002,113.050003
20160929,158.110001,40.73,52.16,112.18
20160928,158.289993,40.849998,53.25,113.949997
20160927,156.770004,41.459999,55.34,113.089996
20160926,153.979996,41.139999,54.400002,112.879997
20160923,154.979996,41.279999,55.150002,112.709999
20160922,156.110001,41.110001,55.41,114.620003
20160921,155.529999,40.57,55.34,113.550003
20160920,154.449997,39.959999,54.869999,113.57
20160919,154.869995,40.060001,54.950001,113.580002
20160916,153.839996,40.200001,55.18,114.919998
20160915,155.660004,40.450001,55.470001,115.57
20160914,154.050003,39.889999,55.130001,111.769997
20160913,155.809998,39.970001,55.369999,107.949997
20160912,158.289993,40.709999,56.009998,105.440002
20160909,155.690002,39.709999,55.330002,103.129997
20160908,159,41.189999,56.169998,105.519997
20160907,161.639999,41.27,57.720001,108.360001
20160906,160.350006,41.23,57.41,107.699997
20160902,159.550003,40.950001,58.02,107.730003
20160901,159.539993,40.959999,58.540001,106.730003
20160831,158.880005,40.880001,57.639999,106.099998
20160830,159.399994,40.889999,58,106
20160829,159.720001,41,58.630001,106.82
20160826,158.320007,40.68,59,106.940002
20160825,158.630005,41.07,59.240002,107.57
20160824,159.050003,40.869999,60.220001,108.029999
20160823,160.259995,40.849998,59.619999,108.849998
20160822,160,40.91,58.66,108.510002
20160819,160.039993,41.009998,58.900002,109.360001
20160818,161.360001,41.400002,57.209999,109.080002
20160817,160.440002,41.860001,56.860001,109.220001
20160816,160.699997,41.959999,56.880001,109.379997
20160815,161.880005,43.02,56.77,109.480003
20160812,161.949997,43.279999,56.450001,108.18
20160811,163.529999,43.389999,56.73,107.93
20160810,162.080002,43.200001,55.130001,108
20160809,161.770004,43.080002,55.77,108.809998
20160808,162.039993,42.93,55.98,108.370003
20160805,163.5,43.16,55.849998,107.480003
20160804,161.550003,43.080002,54.790001,105.870003
20160803,160.669998,43.139999,54.75,105.790001
20160802,160.580002,43.16,54.919998,104.480003
20160801,161.449997,43.18,55.41,106.050003
20160729,160.619995,43.290001,55.5,104.209999
20160728,161.369995,42.580002,55.450001,104.339996
20160727,161.830002,42.759998,55.790001,102.949997
20160726,162.119995,42.380001,56.369999,96.669998
20160725,162.649994,42.939999,57.139999,97.339996
20160722,162.070007,43.110001,56.73,98.660004
20160721,160.449997,42.52,56.990002,99.43
20160720,161.360001,42.709999,57.759998,99.959999
20160719,159.580002,42.77,57.759998,99.870003
20160718,159.860001,42.849998,57.740002,99.830002
20160715,159.779999,42.889999,57.869999,98.779999
20160714,160.279999,42.77,58.490002,98.790001
20160713,158.020004,42.59,57.990002,96.870003
20160712,157.039993,42.41,58.060001,97.419998
